symbol,adjClose,prev_price,date,persian_date,last_price
شگویا,10852.0,11232.0,2020-05-23,1399-03-03,21387
شگویا,10457.0,10852.0,2020-05-26,1399-03-06,21387
شگویا,10419.0,10457.0,2020-05-27,1399-03-07,21387
شگویا,10908.0,10419.0,2020-05-30,1399-03-10,21387
شگویا,10877.0,10908.0,2020-05-31,1399-03-11,21387
شگویا,10792.0,10877.0,2020-06-01,1399-03-12,21387
شگویا,11188.0,10792.0,2020-06-02,1399-03-13,21387
شگویا,11714.0,11188.0,2020-06-06,1399-03-17,21387
شگویا,12126.0,11714.0,2020-06-10,1399-03-21,21387
شگویا,12140.0,12126.0,2020-06-13,1399-03-24,21387
شگویا,11598.0,12140.0,2020-06-14,1399-03-25,21387
شگویا,12391.0,11598.0,2020-06-20,1399-03-31,21387
شگویا,13010.0,12391.0,2020-06-21,1399-04-01,21387
شگویا,13583.0,13010.0,2020-06-22,1399-04-02,21387
شگویا,14147.0,13583.0,2020-06-23,1399-04-03,21387
شگویا,14563.0,14147.0,2020-06-24,1399-04-04,21387
شگویا,15264.0,14563.0,2020-06-27,1399-04-07,21387
شگویا,15578.0,15264.0,2020-06-28,1399-04-08,21387
شگویا,15742.0,15578.0,2020-06-29,1399-04-09,21387
شگویا,16529.0,15742.0,2020-06-30,1399-04-10,21387
شگویا,17352.0,16529.0,2020-07-01,1399-04-11,21387
شگویا,17244.0,17352.0,2020-07-04,1399-04-14,21387
شگویا,17608.0,17244.0,2020-07-05,1399-04-15,21387
شگویا,17937.0,17608.0,2020-07-08,1399-04-18,21387
شگویا,18489.0,17937.0,2020-07-11,1399-04-21,21387
شگویا,19413.0,18489.0,2020-07-12,1399-04-22,21387
شگویا,20369.0,19413.0,2020-07-13,1399-04-23,21387
شگویا,21387.0,20369.0,2020-07-14,1399-04-24,21387
شکلر,39656.0,,2020-04-04,1399-01-16,52040
شکلر,37940.0,39656.0,2020-04-05,1399-01-17,52040
شکلر,38152.0,37940.0,2020-04-06,1399-01-18,52040
شکلر,39899.0,38152.0,2020-04-07,1399-01-19,52040
شکلر,38406.0,39899.0,2020-04-12,1399-01-24,52040
شکلر,36761.0,38406.0,2020-04-13,1399-01-25,52040
شکلر,35087.0,36761.0,2020-04-14,1399-01-26,52040
شکلر,36616.0,35087.0,2020-04-15,1399-01-27,52040
شکلر,37836.0,36616.0,2020-04-18,1399-01-30,52040
شکلر,36223.0,37836.0,2020-04-19,1399-01-31,52040
شکلر,37392.0,36223.0,2020-04-20,1399-02-01,52040
شکلر,41062.0,37392.0,2020-04-25,1399-02-06,52040
شکلر,40672.0,41062.0,2020-04-26,1399-02-07,52040
شکلر,41343.0,40672.0,2020-04-27,1399-02-08,52040
شکلر,43158.0,41343.0,2020-04-28,1399-02-09,52040
شکلر,44162.0,43158.0,2020-04-29,1399-02-10,52040
شکلر,46033.0,44162.0,2020-05-02,1399-02-13,52040
شکلر,48301.0,46033.0,2020-05-03,1399-02-14,52040
شکلر,50716.0,48301.0,2020-05-04,1399-02-15,52040
شکلر,50966.0,50716.0,2020-05-05,1399-02-16,52040
